username,timestamp,stress,sleep,calories
Bushra,2026-02-02 00:05,49.076992008466505,25.65294395399645,749.3817666666656
Bushra,2026-02-02 00:09,49.076992008466505,25.65294395399645,749.3817666666654
Bushra,2026-02-02 00:18,49.076992008466505,25.65294395399645,749.3817666666655
Bushra,2026-02-02 11:02,49.076992008466505,25.65294395399645,749.3817666666655
Bushra,2026-02-03 12:14,49.076992008466505,25.65294395399645,749.3817666666655
Bushra,2026-02-03 12:17,49.076992008466505,25.65294395399645,749.3817666666655
Bushra,2026-02-16 14:30,49.076992008466505,25.65294395399645,749.3817666666655
Bushra,2026-03-05 09:19,73.99884851154437,28.807662143077287,3086.5617666666712
Bushra,2026-03-05 10:08,49.07699200846651,25.65294395399645,749.3817666666656
Bushra,2026-06-09 15:00,49.076992008466505,25.65294395399645,749.3817666666655
Bushra,2026-06-09 15:04,49.076992008466505,25.65294395399645,749.3817666666655
